,pos,val_A,val_C,val_G,val_T
0,0,0.003795719583333335,-0.008368761083333315,0.007924508694444431,-0.003351467194444444
1,1,0.01596982497222233,-0.0174344196944445,0.0012730308611110797,0.00019156386111109612
2,2,-0.024231591861111137,0.009118869027777792,-0.007344738638888925,0.022457461472222263
3,3,-0.0027088957499999873,0.014629115694444441,0.0037982258055555616,-0.015718445750000015
4,4,0.0031681535000000153,-0.018096187500000024,-0.005658947611111112,0.02058698161111112
5,5,-0.03449419413888888,0.013959853416666636,-0.006941986472222219,0.02747632719444445
6,6,-0.013277672833333339,0.011057996055555545,-0.02490777549999992,0.02712745227777769
7,7,-0.00899966630555555,-0.010159461416666633,-0.010166859305555519,0.029325987027777695
8,8,0.017406498861111133,-0.010988323138888891,0.0009461189722222148,-0.007364294694444454
9,9,-0.015190651333333301,0.014395728444444448,0.0031642307777777503,-0.0023693078888889
10,10,-0.007139888722222213,0.0052549731666666636,0.019337662277777865,-0.0174527467222223
11,11,0.0220577073333333,0.025873073111111138,-0.05700465500000001,0.009073874555555524
12,12,0.0068535628055555325,0.03514474036111112,-0.00889352530555551,-0.03310477786111115
13,13,0.017378563777777772,-0.0791278728888891,0.0028231391111111716,0.05892617000000016
14,14,-0.04207767058333338,0.01911562886111107,0.0251777369722223,-0.002215695249999974
15,15,-0.028804105416666583,-0.000994133638888927,0.03917646391666665,-0.009378224861111109
16,16,0.006969446361111076,0.0023209280277777635,-0.01508794586111106,0.005797571472222211
17,17,-0.003344658694444484,-0.01724402269444439,0.027952486527777834,-0.007363805138888938
18,18,-0.005635431194444421,-0.009547758305555569,-0.004604272416666652,0.019787461916666638
19,19,-0.008505481444444487,-0.018953159999999986,0.003556947666666692,0.023901693777777788
20,20,0.005757733416666655,0.011418594416666627,-0.022400507249999944,0.0052241794166666446
21,21,-0.004193405694444455,-0.009395604138888866,0.005573563083333326,0.008015446749999999
22,22,-0.005334117500000043,0.020264176944444465,0.012825409944444437,-0.027755469388888853
23,23,0.0032490148888888863,-0.030180657888888872,0.025021850111111105,0.001909792888888903
24,24,0.014424302055555508,0.010551951722222215,-0.014084984055555451,-0.010891269722222282
25,25,-0.011962479611111135,0.00048043361111111543,0.007570626166666692,0.003911419833333336
26,26,0.015010306999999997,0.010275801333333355,-0.0008824338888888798,-0.024403674444444474
27,27,-0.023124996805555513,-0.002594406250000025,0.013205991416666668,0.01251341163888888
28,28,0.0008973031111111042,0.017470972777777823,-0.018011355777777818,-0.00035692011111112306
29,29,0.009387185722222241,-0.012775091944444436,-0.014201094944444513,0.017589001166666698
30,30,-0.0042998713333333325,-0.007357547222222206,0.005559317333333332,0.006098101222222211
31,31,0.017029040305555528,-0.004791022138888899,0.006963712527777765,-0.019201730694444388
32,32,0.0012382085277777932,-0.014931196583333374,0.0030347444166666936,0.010658243638888891
33,33,-0.035712962055555623,-0.004599501722222291,0.04316635105555576,-0.0028538872777778054
34,34,0.020939062555555624,-0.02458686055555557,0.01852841288888886,-0.014880614888888893
35,35,0.0035444449722222358,0.0034428949722222317,-0.007803060694444478,0.0008157207500000048
36,36,0.010179821333333294,-0.040009150444444454,-0.0070007303333333845,0.03683005944444454
37,37,0.01710530872222227,0.009243548722222196,-0.021804109722222225,-0.004544747722222259
38,38,-0.010903966500000018,0.004245980277777769,-0.004676533166666659,0.011334519388888901
39,39,0.015985316472222195,-0.007351578527777784,-0.011325578527777746,0.00269184058333333
40,40,-0.021183516500000055,0.025711900722222184,-0.019803160388888866,0.015274776166666719
41,41,-0.018930297472222298,0.006433616305555549,-0.0193503800277778,0.03184706119444453
42,42,0.014706673777777839,0.004608341000000001,0.0025630483333333163,-0.021878063111111155
43,43,-0.019851430000000052,0.0018552554444445073,-0.025180296555555454,0.04317647111111098
44,44,-0.013051938638888896,-0.0016897626388888993,-0.03746537086111118,0.05220707213888895
45,45,-0.012382640527777766,-0.02522756163888888,0.00492152691666665,0.03268867525
46,46,-0.02133482447222229,-0.021473230583333308,-0.015511082805555604,0.058319137861111196
47,47,-0.019591840416666645,-0.03220162997222216,0.06995960713888885,-0.018166136749999996
48,48,-0.024851489388888797,-0.029778619055555497,-0.011929408944444391,0.06655951738888868
49,49,-0.022818543416666608,-0.015257746305555528,0.06797684258333338,-0.0299005528611112
50,50,0.07203145672222222,-0.03479560094444449,-0.02029471938888884,-0.0169411363888889
51,51,-0.017307451722222304,-0.01952061138888884,-0.004317967055555555,0.041146030166666694
